"sampleID","700023701","700106065","700109107","700038956","700037814","700097631","700014832","700023872","700098932","700023551","700038702","700106229","700095353","700014555","700105468","700037700","700111811","700024732","700015390","700110812","700099059","700014386","700014718","700016608","700106437","700098359","700037008","700038493","700105685","700101638","700033130","700103672","700113013","700023967","700024846","700114855","700038354","700105153","700109230","700108954","700114387","700037357","700105834","700015245","700105739","700016136","700033436","700037198","700014954","700023066","700016008","700033726","700107816","700114489","700038021","700013549","700023290","700024449","700111574","700114750","700037967","700037405","700037303","700037090","700103621","700105580","700024966","700037123","700113066","700114717","700106876","700038231","700024908","700024689","700105355","700024296","700024349","700024646","700024234","700105274","700024593","700037453","700024545","700024201","700024141","700024408","700106018","700037539","700024086","700023634","700024024","700024492","700023509","700023919","700023447","700103446","700114105","700023237","700105210","700021902","700023815","700105421","700038445","700021677","700021295","700114000","700106132","700111026","700114218","700110353","700114911","700105312","700038741","700110701","700038594","700114798","700109383","700111505","700110587","700114162","700106333","700110221","700109750","700107993","700097570","700108473","700096047","700095956","700096267","700095774","700096590","700016902","700015979","700102585","700016542","700102242","700102905","700015386","700016004","700015702","700099746","700016000","700015394","700100227","700015113","700015179","700014828","700099590","700014488","700095410","700014497","700097234","700099002","700097291","700105613","700110287","700106754","700113542","700106663","700106809","700114442","700106615","700114615","700113503","700114267","700023188","700113599","700107189","700105882","700110419","700106504","700106291","700106412","700105991","700105787","700110644","700106979","700110155","700106551","700106701","700105049","700109807","700109317","700096568","700108284","700106946","700103479"
"sexMale","female","female","female","male","female","male","male","female","female","male","female","female","male","female","female","female","female","female","male","female","female","male","male","male","female","female","female","male","female","male","female","female","male","female","female","male","male","female","female","female","male","male","male","male","male","male","female","female","male","female","female","female","male","female","male","female","male","male","female","male","female","male","female","male","male","male","male","female","male","male","female","male","male","male","male","male","female","male","female","male","male","male","male","male","female","male","female","male","male","female","female","male","male","male","female","male","female","female","female","female","female","female","male","male","male","male","female","male","female","female","female","male","female","male","male","female","female","male","male","male","male","female","male","male","male","male","male","male","male","male","female","male","female","female","female","male","male","female","female","female","male","male","female","female","female","female","male","male","male","male","male","male","female","female","female","female","female","female","male","female","female","male","female","female","female","female","male","male","male","male","female","female","male","female","female","male","male","female","female","male","female","male","female","female","male","male","female"
"OTU_97.48",0,0,0,0,0,0,165,230,0,0,0,82,0,0,1143,0,0,0,101,0,0,0,0,1,0,0,0,0,0,0,0,0,295,0,0,0,46,1176,0,0,53,0,0,40,0,0,0,0,0,0,39,0,0,162,70,0,13,0,79,0,0,0,70,0,0,65,9,0,0,9,0,0,0,1700,7,0,0,0,237,0,0,0,0,0,38,0,0,0,0,0,321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,1389,173,0,20,0,0,0,1,0,0,0,0,0,0,0,42,0,0,0,0,0,0,264,0,0,0,0,237,7,0,0,0,0,0,1083,2041,24,0,0,0,0,0,0,76,187,61,123,0,0,54,0,24,0,164,110,0,0,0,0,0,0,125,54,15,0,0,17,41,0,3,0,0,0,0,23,0,0,0,0,60,0
"OTU_97.37",0,374,10,10,0,7,436,0,2,2,48,8,2,0,93,98,2,2,24,16,63,47,80,53,0,1,86,42,84,152,161,234,11,113,129,25,28,376,20,55,13,4,335,8,48,98,380,105,13,59,76,0,10,2,173,23,23,23,2,95,156,32,22,18,43,367,43,0,46,43,344,0,0,357,72,6,252,85,257,150,120,30,32,29,0,15,298,129,71,45,67,18,6,35,16,150,58,52,48,0,22,0,67,9,42,201,196,11,0,85,39,540,162,7,23,14,38,0,2,0,0,38,2,3,4,4,3,6,0,6,4,66,246,33,1,2,68,0,278,336,88,361,111,0,0,78,18,0,0,18,179,8,28,12,63,32,28,13,1,2,146,34,0,0,0,0,7,3,10,4,0,68,0,8,9,0,0,0,90,29,58,7,21,0,23,32,50
"OTU_97.39171",0,0,0,16,8,7,60,18,14,0,24,274,2,29,3,2,2,4,52,2,0,56,187,381,0,1,0,0,0,19,168,1,73,0,4,0,377,1237,2,441,2,1,0,3,0,0,16,0,5,156,21,0,0,0,81,43,5,1,1,0,3,225,117,67,0,152,15,0,0,1,1013,0,0,100,5,1,1,0,3,9,1,0,0,42,0,0,0,310,186,0,1,0,1,282,0,1,0,0,13,0,2,250,0,1,0,216,2,3,25,99,0,4,1,16,0,37,0,0,44,506,1046,0,1,9,8,95,0,0,0,157,11,137,298,14,2,66,0,1294,2,20,4,1,2,2,10,20,0,0,1022,1,2,60,47,99,0,0,4,0,0,4,0,8,0,1,0,0,1,0,1,0,0,0,0,0,0,0,6,0,2,0,0,0,0,1,38,1,0
"OTU_97.11972",0,0,54,1,31,41,0,0,32,2,0,109,33,1,3,56,0,60,24,5,0,286,79,74,0,0,0,0,0,46,214,42,12,3,246,7,321,515,99,1,1,2,0,23,0,0,42,0,12,1,25,0,71,28,2,1,0,0,15,0,96,5,20,0,0,140,19,0,0,12,0,0,0,0,0,0,116,0,75,30,34,0,0,0,9,7,18,11,6,0,0,182,85,244,0,22,0,0,136,87,24,0,9,919,0,5,30,1,0,0,8,4,0,16,0,13,198,262,46,349,603,11,25,0,1,4,119,75,0,1,0,132,18,1168,272,117,0,55,17,0,100,5,80,159,1217,1,0,0,3,11,11,20,0,4,0,3,0,0,0,0,0,36,0,6,0,0,4,1,29,6,0,0,0,1,2,0,66,0,0,3,0,25,0,0,8,14,27
"OTU_97.35176",2,0,33,5,152,5,112,7,22,0,176,59,11,169,27,480,55,58,4,127,0,189,3,0,0,73,0,0,0,123,68,29,20,3,67,475,48,168,5,0,11,1,0,6,0,0,53,0,6,332,22,0,17,256,2,0,0,3,1,125,6,8,19,43,0,47,5,0,0,16,0,0,0,314,107,24,0,0,0,24,5,0,0,73,232,52,8,67,101,1,53,1,1,8,78,0,0,0,53,111,304,16,124,2,0,13,57,260,61,195,8,406,76,0,0,32,6,102,0,127,239,34,180,34,242,12,116,31,0,15,120,55,54,5,20,0,0,550,114,7,10,55,51,0,0,120,0,0,596,23,73,11,15,2,0,10,3,0,2,2,3,1,0,14,2,1,0,9,5,28,0,0,0,2,1,3,8,0,1,2,2,22,0,0,4,16,5
"OTU_97.34683",6,0,6,19,154,8,16,19,51,0,151,80,8,92,45,188,39,47,137,65,0,212,126,12,0,34,0,0,0,94,109,68,22,7,32,202,33,147,3,4,12,9,0,8,0,0,79,0,18,355,26,0,26,79,8,0,1,6,0,37,28,25,34,31,0,91,8,0,0,12,21,0,0,69,44,12,1,0,0,30,14,0,0,123,88,18,14,72,81,4,72,3,0,14,90,4,0,0,525,89,163,128,108,6,0,154,67,64,84,112,3,279,107,0,0,34,1,88,2,143,339,34,145,26,118,14,91,21,0,26,59,128,80,218,56,0,0,223,178,15,161,26,20,1,20,243,0,0,331,21,52,128,43,2,18,11,21,1,10,34,24,4,4,114,5,17,1,7,17,6,0,0,3,19,6,1,251,0,1,15,8,19,0,0,24,71,48
"OTU_97.37902",1,192,2,6,1,24,3,219,12,13,2,129,1,3,23,11,0,2,0,18,69,2,30,16,102,0,1,23,84,30,15,78,12,79,145,102,7,615,12,0,2,1,13,87,7,75,0,14,55,65,65,9,59,1,5,4,43,4,18,30,8,1,4,16,35,36,9,4,25,11,138,0,0,20,4,31,13,6,101,4,0,7,2,46,5,86,100,39,17,301,3,154,496,32,11,223,452,108,5,1,9,255,656,285,109,6,285,2,291,133,0,70,160,20,4,16,3,7,1,5,14,2,1,2,8,30,1,2,2,4,5,4,2,2,1,4,56,0,19,35,21,395,61,0,0,118,0,17,174,0,44,52,110,33,29,0,12,0,3,7,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,5,0,1,0,3,2,2
"OTU_97.73",0,0,4,3,64,0,1,0,8,0,17,70,15,0,0,0,0,0,120,0,0,169,121,5,0,0,0,31,0,0,2,0,0,0,18,43,0,0,103,0,0,15,0,2,0,0,274,5,0,18,171,81,2,0,10,1,0,57,298,0,0,396,20,0,0,5,3,0,0,7,0,0,0,2036,3,3,7,0,32,24,2,0,0,0,0,25,0,2,0,0,0,1,0,0,86,2,0,0,0,0,0,0,0,0,0,0,425,11,307,1,0,0,0,50,0,0,312,0,8,0,0,0,0,8,11,0,0,0,0,0,0,0,0,61,12,1,0,2211,46,37,29,84,31,0,0,0,69,0,0,0,0,191,78,1,4,0,0,11,4,0,0,0,0,0,0,0,0,4,13,1,0,13,0,20,0,2,0,0,0,0,4,0,0,0,0,0,0
"OTU_97.25475",2,0,116,4,11,0,1,0,150,0,0,1,1,0,0,12,0,0,5,7,0,4,22,43,0,0,0,0,0,8,4,0,2,10,0,7,3,11,8,0,0,1,0,22,0,0,22,0,9,0,171,0,137,7,0,0,0,0,232,0,1,0,1,0,0,3,1,0,0,0,0,0,0,6,0,0,118,0,72,67,37,0,0,1,87,0,11,51,33,0,0,1132,718,16,0,2,0,0,24,25,0,0,0,6,0,0,10,15,1,10,0,0,0,48,0,2,29,1972,85,7,8,44,56,0,0,25,8,229,0,2,2,4,47,132,46,32,0,91,7,0,11,0,3,287,1142,0,0,0,2,1,6,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,25,0,0,0,0,0,0,0,0,0,0,0,36,0,0,5,0,0
"OTU_97.34925",3,0,4,1,57,17,3,0,27,0,1,75,3,3,11,30,0,1,95,0,0,393,42,224,0,2,0,0,0,5,113,23,47,15,149,25,77,157,63,0,1,3,0,44,0,0,78,0,17,1,21,0,3,22,31,24,1,2,1,0,199,104,67,1,0,33,2,0,0,26,0,0,0,5,2,1,626,0,46,216,68,0,0,1,44,30,18,35,21,0,0,85,43,140,3,14,0,0,55,243,225,0,0,608,0,2,32,3,0,8,6,10,0,7,0,54,52,50,7,347,357,0,2,0,2,6,92,3,0,0,0,44,324,135,101,40,0,22,107,0,68,5,166,8,482,1,0,0,132,1,32,89,0,63,0,2,0,0,0,0,0,4,0,2,0,2,2,2,2,0,0,0,0,0,0,0,6,0,0,3,0,0,0,0,3,7,7
