"sampleID","700023701","700106065","700109107","700038956","700037814","700097631","700014832","700023872","700098932","700023551","700038702","700106229","700095353","700014555","700105468","700037700","700111811","700024732","700015390","700110812","700099059","700014386","700014718","700016608","700106437","700098359","700037008","700038493","700105685","700101638","700033130","700103672","700113013","700023967","700024846","700114855","700038354","700105153","700109230","700108954","700114387","700037357","700105834","700015245","700105739","700016136","700033436","700037198","700014954","700023066","700016008","700033726","700107816","700114489","700038021","700013549","700023290","700024449","700111574","700114750","700037967","700037405","700037303","700037090","700103621","700105580","700024966","700037123","700113066","700114717","700106876","700038231","700024908","700024689","700105355","700024296","700024349","700024646","700024234","700105274","700024593","700037453","700024545","700024201","700024141","700024408","700106018","700037539","700024086","700023634","700024024","700024492","700023509","700023919","700023447","700103446","700114105","700023237","700105210","700021902","700023815","700105421","700038445","700021677","700021295","700114000","700106132","700111026","700114218","700110353","700114911","700105312","700038741","700110701","700038594","700114798","700109383","700111505","700110587","700114162","700106333","700110221","700109750","700107993","700097570","700108473","700096047","700095956","700096267","700095774","700096590","700016902","700015979","700102585","700016542","700102242","700102905","700015386","700016004","700015702","700099746","700016000","700015394","700100227","700015113","700015179","700014828","700099590","700014488","700095410","700014497","700097234","700099002","700097291","700105613","700110287","700106754","700113542","700106663","700106809","700114442","700106615","700114615","700113503","700114267","700023188","700113599","700107189","700105882","700110419","700106504","700106291","700106412","700105991","700105787","700110644","700106979","700110155","700106551","700106701","700105049","700109807","700109317","700096568","700108284","700106946","700103479"
"sexMale","female","female","female","male","female","male","male","female","female","male","female","female","male","female","female","female","female","female","male","female","female","male","male","male","female","female","female","male","female","male","female","female","male","female","female","male","male","female","female","female","male","male","male","male","male","male","female","female","male","female","female","female","male","female","male","female","male","male","female","male","female","male","female","male","male","male","male","female","male","male","female","male","male","male","male","male","female","male","female","male","male","male","male","male","female","male","female","male","male","female","female","male","male","male","female","male","female","female","female","female","female","female","male","male","male","male","female","male","female","female","female","male","female","male","male","female","female","male","male","male","male","female","male","male","male","male","male","male","male","male","female","male","female","female","female","male","male","female","female","female","male","male","female","female","female","female","male","male","male","male","male","male","female","female","female","female","female","female","male","female","female","male","female","female","female","female","male","male","male","male","female","female","male","female","female","male","male","female","female","male","female","male","female","female","male","male","female"
"OTU_97.1828",0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,38,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.2847",0,0,0,3,9,0,0,0,0,0,2,3,4,2,0,5,0,0,0,0,0,3,1,1,0,0,7,0,12,0,0,7,1,0,1,5,0,0,1,0,2,2,0,2,7,0,5,6,0,5,1,0,0,0,3,0,1,4,0,0,1,1,3,2,0,1,7,0,0,0,0,2,1,10,5,5,1,4,0,7,6,7,5,0,0,0,4,0,0,1,7,0,0,2,2,4,1,1,0,0,1,5,0,9,0,9,1,0,0,0,0,19,1,0,6,0,0,0,0,0,0,0,2,0,0,0,1,0,3,0,0,2,0,3,1,0,0,0,4,1,9,3,2,0,0,2,0,0,0,1,0,0,0,3,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"OTU_97.35268",3,2,1,2,0,1,1,0,0,0,1,1,0,0,3,0,0,0,0,6,0,0,0,0,0,0,1,0,0,33,1,0,2,1,3,5,2,11,0,0,2,0,0,0,0,0,1,0,1,13,0,0,1,15,2,0,10,0,1,0,0,0,2,1,2,18,3,1,1,0,0,0,0,2,0,5,8,0,9,1,0,0,1,2,10,0,0,2,2,0,0,2,3,13,1,2,3,2,0,0,0,1,13,25,7,0,5,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.4680",0,0,0,2,0,0,0,0,1,0,6,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,0,0,1,0,0,0,0,6,0,0,4,0,0,0,0,0,0,0,14,3,0,6,8,19,4,0,0,1,0,2,4,0,0,5,2,0,0,0,1,0,0,0,0,0,0,6,0,1,1,0,4,5,1,0,0,0,0,0,0,1,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,3,0,0,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,44,16,0,4,27,0,0,0,0,9,0,0,0,0,5,13,1,1,0,0,1,0,0,0,0,0,0,0,0,0,3,5,2,0,1,0,0,0,6,0,0,0,0,9,0,0,0,0,0,0
"OTU_97.13133",0,0,0,0,0,0,1,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,8,48,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,8,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,32,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.1536",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.7073",0,0,1,4,0,0,4,0,0,2,2,3,0,3,1,1,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,15,3,1,2,0,2,56,0,0,1,5,1,0,1,0,0,2,0,3,6,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,21,0,0,1,2,0,3,3,0,2,0,0,0,0,6,1,0,0,0,0,0,0,7,17,0,0,0,1,4,2,0,0,0,1,0,0,43,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,1,12,0,0,10,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.35337",0,0,0,0,0,0,0,0,3,0,0,2,13,0,0,0,0,0,4,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,58,0,0,0,6,11,3,0,0,0,0,0,4,0,0,3,2,0,0,20,5,0,0,1,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,13,0,5,0,0,0,2,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,5,14,0,37,2,4,0,0,0,17,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,6,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.39245",0,0,1,0,0,2,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,2,33,0,0,0,0,2,0,0,4,0,2,1,1,0,4,0,0,0,0,0,2,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,0,0,0,1,0,0,0,0,0,0,5,1,0,1,0,0,0,0,5,0,0,1,9,0,0,0,0,0,0,1,0,0,0,0,2,54,5,0,9,4,0,3,0,0,1,4,3,0,0,1,2,3,3,4,2,0,1,5,0,0,0,0,5,18,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,7,0,1,0,0,0,1,6,3,0,0,1,1,2,0,9,0,0,2,0,7,0,0,1,5,1
"OTU_97.1037",2,0,0,0,0,5,0,0,0,0,0,0,2,11,0,0,0,0,0,2,0,6,0,0,0,2,0,0,0,0,14,11,0,0,0,14,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,12,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,11,0,0,144,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.346",3,1,0,0,1,0,3,1,1,0,0,5,0,10,0,39,0,0,2,4,0,1,0,0,0,0,0,0,0,1,2,6,0,1,1,4,3,0,0,0,0,0,0,0,0,7,0,0,0,3,0,5,0,0,2,0,1,0,3,0,0,0,0,0,10,2,0,0,1,1,0,8,4,0,4,3,0,0,6,1,0,0,0,14,0,0,1,1,0,1,0,2,26,0,1,6,1,0,4,0,1,0,1,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,2,0,0,0,4,3,1,0,2,2,1,4,0,5,2,0,0,1,0,3,1,0,0,0,0,0,0,1,0,0,0,0,3,1,0,0,1,0,0,9,1,0,0,0,0,0,0,0,1,8,0,0,0,1,0,0,1,0,0,5,0,1,0,1,0,1,0,0
"OTU_97.37924",1,0,2,0,1,0,0,0,3,0,0,2,0,0,0,5,0,0,0,0,0,4,1,7,0,0,0,0,0,0,4,1,0,1,1,1,0,0,0,0,0,0,0,2,0,0,2,0,0,0,7,0,0,1,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3,0,0,2,0,1,10,1,0,0,0,0,0,0,7,3,0,0,32,23,3,0,1,0,0,3,3,2,0,0,7,0,0,0,0,0,0,1,0,0,1,0,0,0,5,0,1,2,4,0,0,0,0,2,6,0,0,0,2,2,10,4,2,0,0,4,0,5,0,1,9,67,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
"OTU_97.1051",0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,19,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.34183",0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,25,0,0,0,0,0,4,0,0,0,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,2,0,3,0,2,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,54,0,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,7,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,31,13,1,2,54,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.8514",0,2,0,0,2,0,0,2,0,0,5,0,0,2,6,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,2,1,0,0,2,0,0,0,0,1,1,0,0,0,9,0,0,0,0,1,0,0,4,1,0,0,2,0,10,10,0,0,1,11,0,1,0,0,2,0,6,3,3,0,0,0,0,1,4,4,5,4,6,0,1,0,0,0,0,6,4,2,4,0,4,10,1,0,0,6,0,0,7,0,0,1,0,0,0,0,13,0,0,0,0,1,0,0,0,0,0,2,0,0,0,5,0,0,2,5,1,9,0,0,0,0,1,3,0,9,27,2,7,22,0,1,0,0,0,0,5,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.885",0,0,0,0,0,3,1,0,0,0,2,1,0,1,8,0,0,0,0,4,1,4,0,2,2,0,0,0,0,0,2,0,3,3,2,2,1,2,0,0,1,0,2,9,0,0,14,0,0,5,0,11,0,15,1,0,13,0,9,0,7,0,3,0,1,0,0,0,0,1,11,0,0,1,1,0,2,0,4,3,0,0,1,1,0,2,1,6,2,0,0,7,3,0,6,0,1,0,0,0,0,4,3,0,1,0,5,0,0,0,0,3,0,9,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,15,0,1,0,0,3,0,0,1,0,0,0,0,35,0,0,0,0,1,7,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"OTU_97.29197",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,7,0,0,11,0,0,4,0,0,0,5,6,3,0,0,5,0,0,10,0,0,2,1,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,125,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"OTU_97.11715",0,0,0,1,0,0,0,0,2,0,0,2,0,0,0,0,0,0,1,0,0,5,7,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,1,0,0,5,10,1,0,0,1,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,108,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,5,5,0,0,0,0,64,0,0,0,0,2,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.3760",0,7,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,98,0,0,0,0,0,3,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,9,4,3,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,1,0,2,32,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,8,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,37,10,1,1,10,0,4,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0
"OTU_97.735",9,0,1,0,0,0,0,0,0,0,6,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,3,0,0,0,0,123,0,0,0,0,0,0,49,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,3,1,0,0,1,0,0,0,0,0,0,0,3,0,5,3,0,1,18,0,0,1,0,0,0,1,0,0,0,2,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,3,8,0,1,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.9417",0,0,0,9,0,0,0,0,0,2,2,6,0,1,0,1,0,3,0,0,0,0,1,3,0,0,0,0,0,0,0,4,1,0,3,0,5,65,0,0,3,0,0,0,0,0,0,0,3,0,1,0,0,0,10,6,26,0,0,0,1,0,0,0,0,4,2,2,0,0,0,0,0,3,0,11,5,2,6,1,11,4,6,0,0,1,2,24,16,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.11779",0,3,0,0,0,5,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,9,2,0,0,2,0,0,0,0,0,0,0,2,1,0,0,3,1,0,0,5,0,0,0,0,0,6,0,1,0,0,0,2,0,2,0,0,0,24,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,2,1,0,0,3,0,0,0,0,1,0,1,0,0,7,48,0,0,0,1,1,1,0,1,0,1,1,0,0,10,0,0,11,2,2,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,0,0,0,0,1,0,0,1,0,0,12,0,84,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"OTU_97.1635",0,0,0,0,0,0,16,0,0,0,0,4,1,1,0,0,0,3,2,1,0,2,6,0,14,0,2,0,2,0,14,19,1,0,0,1,4,0,0,0,0,5,0,0,0,3,0,11,1,2,0,13,0,0,0,0,2,0,0,0,2,0,0,1,5,1,1,0,0,1,0,10,19,4,1,0,0,0,2,0,0,3,1,0,0,0,0,2,1,0,0,0,0,4,0,3,0,0,7,0,4,0,2,5,0,2,0,5,3,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1,4,0,11,1,0,0,3,1,0,9,3,2,0,0,1,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1
"OTU_97.23508",0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,72,92,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.2492",4,10,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,0,2,0,9,7,1,2,2,0,0,0,0,1,0,0,0,0,19,45,0,3,0,0,0,0,3,0,5,0,0,5,2,0,0,1,0,0,1,1,24,22,2,2,2,18,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,2,0,0,0,0,0,0,6,0,0,42,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.1275",0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,178,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.19643",0,0,0,0,0,0,0,0,0,0,0,0,0,221,0,0,0,0,0,0,9,0,0,0,0,16,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,15,0,0,0,0,0,0,0,0,0,2,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.1212",0,0,0,0,0,5,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,3,0,0,0,22,13,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.12461",0,2,0,0,0,0,0,12,0,2,0,3,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,3,0,4,0,8,3,0,0,0,0,3,1,3,0,1,10,3,1,0,4,0,0,0,4,0,2,0,0,0,1,0,1,0,0,0,4,2,4,0,0,0,0,2,1,1,7,0,0,0,0,2,0,0,2,2,0,8,0,6,15,1,0,5,7,9,0,0,1,3,24,28,2,0,5,0,4,7,0,0,3,2,0,0,1,0,1,1,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,17,0,1,3,0,7,0,0,0,3,0,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.16000",3,0,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,4,0,6,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,191,0,23,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,11,1,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.822",3,4,0,0,0,0,1,4,0,16,0,2,0,0,9,0,0,3,0,2,0,6,0,39,0,0,0,1,1,7,1,0,2,2,1,1,4,0,0,0,1,0,0,3,0,0,0,0,1,0,1,0,0,0,16,0,12,0,0,0,7,1,0,0,0,0,1,0,0,0,0,0,0,0,2,1,6,0,13,0,0,0,0,0,0,1,0,9,0,19,0,0,0,1,0,5,0,12,0,0,0,3,0,5,0,0,9,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,11,0,0,3,0,0,2,0,0,0,0,2,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,2
"OTU_97.15867",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,1,0,0,0,1,1,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,1,0,0,0,0,0,0,63,0,3,0,1,0,6,0,0,0,1,0,33,0,35,0,0,0,1,12,0,1,0,0,0,0,3,1,1,0,0,2,0,0,9,2,5,4,3,0,1,2,0,0,0,4,4,2,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,4,1,0,5,0,0,6,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,1,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
"OTU_97.4160",1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,2,1,0,0,0,0,6,36,12,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,12,0,0,0,3,0,0,0,0,1,2,0,0,0,2,0,0,6,0,0,0,0,0,0,24,0,0,18,0,0,0,0,0,0,17,0,0,0,0,0,0,0,8,0,0,15,0,1,0,0,0,0,1,9,2,0,2,0,0,0,5,4,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,2,0,1,42,0,0,0,1,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0
